id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
test 1,1.000,32754,,,,22627,2146,182000,213570,235957,263958,,,,,
test 1,2.003,34928,,,,36307,119330,227614,250391,281624,295249,,,,,
test 1,3.003,28992,,,,27605,172389,294899,320640,356484,372265,,,,,
test 1,4.003,25221,,,,23472,263262,429581,446992,483601,496716,,,,,
test 1,5.006,28755,,,,26152,297430,428055,491553,524968,548155,,,,,
test 1,6.006,21736,,,,25958,270277,614445,670460,743459,769981,,,,,
test 1,7.006,41592,,,,45142,86340,165719,204775,286433,321510,,,,,
test 1,8.006,44986,,,,44694,95265,161120,179503,205158,218820,,,,,
test 1,9.006,29795,,,,29303,135515,350900,433122,459368,468719,,,,,
test 1,10.006,39269,,,,35362,139590,214186,240357,314565,335875,,,,,
test 1,11.006,44486,,,,50141,81187,148647,216454,312857,342777,,,,,
test 1,12.006,43314,,,,42797,83664,159713,178927,217090,232030,,,,,
test 1,13.006,50631,,,,50004,72367,129611,149470,200867,252977,,,,,
test 1,14.006,43551,,,,43512,94812,148716,174224,204992,221817,,,,,
test 1,15.006,43329,,,,41452,98999,148991,170325,246076,258496,,,,,
test 1,16.006,37878,,,,39763,78758,175868,235869,298127,312980,,,,,
test 1,17.006,43537,,,,44507,92279,162446,183966,206629,214721,,,,,
test 1,18.006,47391,,,,47328,93392,138956,153313,178660,188646,,,,,
test 1,19.006,38469,,,,34478,126078,262706,287164,310989,317766,,,,,
test 1,20.006,40842,,,,42962,87242,183991,270713,337595,357770,,,,,
test 1,21.006,38516,,,,39305,97957,186275,222892,271815,296707,,,,,
test 1,22.006,40189,,,,40947,106164,168881,189112,215805,227552,,,,,
test 1,23.006,42404,,,,42414,91753,158299,186219,216546,231449,,,,,
test 1,24.006,49353,,,,47261,87245,138714,157407,181306,200275,,,,,
test 1,25.006,46882,,,,46471,91830,141791,161817,194088,221782,,,,,
test 1,26.006,32344,,,,28749,213195,289428,351314,412615,432188,,,,,
test 1,27.006,33581,,,,34854,237591,322677,391491,436851,446143,,,,,
test 1,28.006,36316,,,,41617,93660,210401,277442,337745,353733,,,,,
test 1,29.006,36955,,,,34329,115983,186248,223107,276130,289383,,,,,
test 1,30.006,45750,,,,46808,96755,158499,179910,202997,254502,,,,,
